duration,distance,place,type
07:52:42,362.23,MACAÉ,CARRETA
06:30:35,362.05,DUQUE DE CAXIAS,TOCO
07:54:08,360.68,MACAÉ,CARRETA
07:14:37,360.16,DUQUE DE CAXIAS,VUC
06:00:43,359.31,VITÓRIA,VUC
05:39:41,356.02,SÃO PAULO,TOCO
07:15:36,354.83,MACAÉ,CARRETA
07:48:26,354.6,MACAÉ,CARRETA
07:19:05,353.9,MACAÉ,CARRETA
06:15:05,353.78,SÃO PAULO,VUC
07:48:14,352.34,SÃO PAULO,TOCO
06:57:59,351.0,SÃO PAULO,VUC
07:53:23,350.35,SÃO PAULO,VUC
06:24:28,350.33,MACAÉ,CARRETA
08:26:57,349.79,RISER,CARRETA
06:08:00,349.02,SÃO PAULO,VUC
06:21:26,348.84,VITÓRIA,VUC
07:53:25,348.57,DUQUE DE CAXIAS,VUC
06:57:32,348.31,MACAÉ,CARRETA
06:09:28,347.72,VITÓRIA,VUC
06:05:14,347.57,MACAÉ,CARRETA
06:46:40,347.25,MACAÉ,CARRETA
08:08:18,346.77,MACAÉ,VUC
05:49:03,346.68,SÃO PAULO,VUC
07:23:43,345.43,MACAÉ,CARRETA
08:55:21,345.34,RISER,CARRETA
07:48:35,345.33,MACAÉ,CARRETA
06:53:03,345.23,SÃO PAULO,VUC
07:42:48,341.24,SÃO PAULO,VUC
05:55:04,340.81,MACAÉ,CARRETA
06:13:32,340.51,MACAÉ,CARRETA
06:03:14,340.38,SÃO PAULO,TOCO
06:44:17,340.1,MACAÉ,CARRETA
07:08:47,338.77,MACAÉ,CARRETA
06:26:40,338.35,SÃO PAULO,VUC
08:05:10,338.31,VITÓRIA,VUC
06:12:19,338.27,VITÓRIA,VUC
07:48:06,337.03,MACAÉ,CARRETA
06:58:01,336.24,SÃO PAULO,TOCO
05:44:53,334.93,VITÓRIA,VUC
05:18:09,334.68,VITÓRIA,VUC
05:36:55,334.02,SÃO PAULO,TOCO
07:48:04,333.49,MACAÉ,CARRETA
06:37:28,332.98,SÃO PAULO,VUC
06:53:03,332.52,SÃO PAULO,VUC
05:53:35,332.14,MACAÉ,CARRETA
08:50:00,331.98,DUQUE DE CAXIAS,VUC
06:43:30,331.02,SÃO PAULO,VUC
05:44:51,330.68,SÃO PAULO,TOCO
07:01:34,330.35,SÃO PAULO,VUC
08:35:58,330.03,DUQUE DE CAXIAS,VUC
06:05:46,328.3,VITÓRIA,VUC
06:43:23,326.27,DUQUE DE CAXIAS,VUC
06:51:25,325.92,MACAÉ,CARRETA
07:00:20,325.92,MACAÉ,CARRETA
07:02:01,325.42,MACAÉ,CARRETA
07:11:29,322.82,MACAÉ,CARRETA
04:40:00,322.78,SÃO PAULO,TOCO
06:28:37,322.78,MACAÉ,CARRETA
07:05:05,322.42,SÃO PAULO,TOCO
05:07:20,322.27,SÃO PAULO,TOCO
04:46:29,321.85,SÃO PAULO,TOCO
06:49:33,321.46,MACAÉ,CARRETA
05:48:27,319.7,VITÓRIA,VUC
04:53:23,318.81,SÃO PAULO,TOCO
05:56:56,318.3,SÃO PAULO,VUC
06:19:15,317.52,SÃO PAULO,TOCO
05:53:04,317.39,SÃO PAULO,VUC
06:48:48,315.78,SÃO PAULO,TOCO
07:31:45,314.57,MACAÉ,CARRETA
06:03:50,314.52,MACAÉ,CARRETA
04:45:28,313.82,SÃO PAULO,TOCO
06:07:50,312.8,SÃO PAULO,TOCO
05:49:24,312.51,SÃO PAULO,VUC
